"debut";"fin";"Aquitaine";"Austrasie";"Bourgogne";"Neustrie";"Provence";"autres";"ecclesiastiques";"nobles"
"229";486;489;0;0;1;0;0;1;0;0
"230";520;520;0;0;1;0;0;0;1;0
"231";561;573;0;0;1;0;0;0;0;1
"232";573;591;0;0;0;1;0;1;0;0
"233";573;591;0;0;0;1;0;0;1;0
"234";529;530;0;0;0;0;1;0;1;0
"235";NA;NA;0;0;0;0;0;0;0;0
"236";595;605;1;0;0;0;0;0;1;0
"237";614;614;1;0;0;0;0;1;0;0
"238";602;610;0;1;0;0;0;1;0;0
"239";512;512;0;0;0;1;0;0;1;0
"240";NA;NA;0;0;0;0;0;0;0;0
"241";581;585;0;0;0;0;1;1;0;0
"242";NA;579;0;0;1;0;0;1;0;0
"243";533;533;1;0;0;0;0;0;1;0
"244";NA;582;0;0;1;0;0;0;0;1
"245";NA;NA;0;0;0;0;0;0;0;0
"246";533;551;1;0;0;0;0;1;0;0
"247";NA;NA;0;0;0;0;0;0;0;0
"248";570;570;0;0;1;0;0;0;1;0
"249";535;542;0;1;0;0;0;1;0;0
"250";NA;NA;0;0;0;0;0;0;0;0
"251";605;607;0;0;0;0;0;0;1;0
"252";567;575;0;0;0;1;0;1;0;0
"253";567;575;0;0;0;1;0;1;0;0
"254";585;585;0;0;1;0;0;0;1;0
"255";NA;NA;0;0;0;0;0;0;0;0
"256";584;584;0;0;0;1;0;1;0;0
"257";614;614;1;0;0;0;0;1;0;0
"258";590;590;0;1;0;0;0;0;0;1
"259";568;568;0;1;0;0;0;0;0;1
"260";549;580;0;0;0;1;0;0;0;1
"261";572;590;0;0;0;1;0;1;0;0
"262";585;585;0;0;1;0;0;0;1;0
"263";NA;NA;0;0;0;0;0;0;0;0
"264";560;NA;0;0;0;1;0;1;0;0
"265";549;552;1;0;0;0;0;1;0;0
"266";560;561;0;0;1;0;0;1;0;0
"267";NA;NA;0;0;0;0;0;0;0;0
"268";500;506;0;0;0;0;1;1;0;0
"271";546;551;0;0;0;0;1;1;0;0
"272";591;595;1;0;0;0;0;1;0;0
"273";541;541;1;0;0;0;0;0;1;0
"274";471;487;0;1;0;0;0;1;0;0
"275";NA;NA;0;0;0;0;0;0;0;0
"276";581;581;0;0;0;0;1;1;0;0
"277";550;556;1;0;0;0;0;0;0;1
"278";575;580;0;0;1;0;0;1;0;0
"279";NA;NA;0;0;0;0;0;0;0;0
"280";567;580;0;0;1;0;0;0;0;1
"281";NA;NA;0;0;0;0;0;0;0;0
"282";NA;587;1;0;0;0;0;0;0;1
"283";NA;NA;0;0;0;0;0;0;0;0
"284";595;595;0;0;1;0;0;0;1;0
"286";542;546;0;0;0;0;1;1;0;0
"287";566;573;0;0;0;1;0;1;0;0
"288";485;508;1;0;0;0;0;0;1;0
"289";NA;551;1;0;0;0;0;1;0;0
"290";538;538;0;0;1;0;0;0;1;0
"291";549;554;0;0;0;0;1;1;0;0
"292";541;554;0;0;0;0;1;1;0;0
"293";570;578;0;1;0;0;0;1;0;0
"294";587;587;0;0;0;1;0;1;0;0
"295";561;581;0;0;0;1;0;1;0;0
"296";585;585;0;0;1;0;0;0;1;0
